Id,Label,timeset,componentnumber,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,clustering,triangles
151411616,151411616,,10317,0,0,0,0,0,0,0,0,0
151411618,151411618,,10317,0,0,0,0,0,0,0,0,0
151411621,151411621,,0,2,41,0.056006,0.059232,0,0.000025,146,1,1
151411623,151411623,,0,2,41,0.056006,0.059232,0,0.000025,146,1,1
151411637,151411637,,10318,0,0,0,0,0,0,0,0,0
151411636,151411636,,10318,0,0,0,0,0,0,0,0,0
151411638,151411638,,10318,0,0,0,0,0,0,0,0,0
151411717,151411717,,0,2,39,0.064573,0.069206,0,0.000024,115,1,1
151411716,151411716,,0,2,39,0.064573,0.069206,0,0.000024,115,1,1
151411732,151411732,,10319,0,0,0,0,0,0,0,0,0
151411731,151411731,,10319,0,0,0,0,0,0,0,0,0
151411752,151411752,,10320,0,0,0,0,0,0,0,0,0
151411751,151411751,,10320,0,0,0,0,0,0,0,0,0
151411753,151411753,,10320,0,0,0,0,0,0,0,0,0
151411776,151411776,,0,1,39,0.056331,0.059426,0,0.000019,105,0,0
151411786,151411786,,0,2,39,0.057786,0.060791,0,0.000034,133,1,1
151411788,151411788,,0,2,39,0.057786,0.060791,0,0.000034,133,1,1
151379609,151379609,,0,2,36,0.069341,0.074574,620258.759563,0.000026,133,0,0
151411802,151411802,,10321,0,0,0,0,0,0,0,0,0
151411801,151411801,,10321,0,0,0,0,0,0,0,0,0
151411803,151411803,,10321,0,0,0,0,0,0,0,0,0
151411807,151411807,,10322,0,0,0,0,0,0,0,0,0
151411806,151411806,,10322,0,0,0,0,0,0,0,0,0
151411847,151411847,,10323,0,0,0,0,0,0,0,0,0
151411846,151411846,,10323,0,0,0,0,0,0,0,0,0
151411848,151411848,,10323,0,0,0,0,0,0,0,0,0
151411863,151411863,,0,1,42,0.05368,0.056297,0,0.000018,5,0,0
151411873,151411873,,334,0,0,0,0,0,0,0,0,0
151406667,151406667,,334,0,0,0,0,0,0,0,0,0
151411892,151411892,,10324,0,0,0,0,0,0,0,0,0
151411891,151411891,,10324,0,0,0,0,0,0,0,0,0
151411893,151411893,,10324,0,0,0,0,0,0,0,0,0
151411897,151411897,,10325,0,0,0,0,0,0,0,0,0
151411896,151411896,,10325,0,0,0,0,0,0,0,0,0
151411907,151411907,,10326,0,0,0,0,0,0,0,0,0
151411906,151411906,,10326,0,0,0,0,0,0,0,0,0
151411908,151411908,,10326,0,0,0,0,0,0,0,0,0
151411922,151411922,,10327,0,0,0,0,0,0,0,0,0
151411921,151411921,,10327,0,0,0,0,0,0,0,0,0
151411923,151411923,,10327,0,0,0,0,0,0,0,0,0
151411924,151411924,,10327,0,0,0,0,0,0,0,0,0
151411952,151411952,,0,2,43,0.06167,0.065774,0,0.000022,113,1,1
151411951,151411951,,0,2,43,0.06167,0.065774,0,0.000022,113,1,1
151411983,151411983,,0,1,41,0.053185,0.055881,0,0.000023,70,0,0
151411997,151411997,,10328,0,0,0,0,0,0,0,0,0
151411996,151411996,,10328,0,0,0,0,0,0,0,0,0
151412052,151412052,,10329,0,0,0,0,0,0,0,0,0
151412051,151412051,,10329,0,0,0,0,0,0,0,0,0
151412053,151412053,,10329,0,0,0,0,0,0,0,0,0
151412097,151412097,,10330,0,0,0,0,0,0,0,0,0
151412096,151412096,,10330,0,0,0,0,0,0,0,0,0
151412127,151412127,,10331,0,0,0,0,0,0,0,0,0
151412126,151412126,,10331,0,0,0,0,0,0,0,0,0
151412132,151412132,,10332,0,0,0,0,0,0,0,0,0
151412131,151412131,,10332,0,0,0,0,0,0,0,0,0
151412162,151412162,,10333,0,0,0,0,0,0,0,0,0
151412161,151412161,,10333,0,0,0,0,0,0,0,0,0
151412257,151412257,,10334,0,0,0,0,0,0,0,0,0
151412256,151412256,,10334,0,0,0,0,0,0,0,0,0
151412283,151412283,,0,2,52,0.03931,0.040798,0,0.00003,65,1,1
151412284,151412284,,0,2,52,0.03931,0.040798,0,0.00003,65,1,1
151412292,151412292,,10335,0,0,0,0,0,0,0,0,0
151412291,151412291,,10335,0,0,0,0,0,0,0,0,0
151412327,151412327,,10336,0,0,0,0,0,0,0,0,0
151412326,151412326,,10336,0,0,0,0,0,0,0,0,0
151412336,151412336,,0,2,45,0.053598,0.056769,0,0.00002,73,1,1
151412338,151412338,,0,2,45,0.053598,0.056769,0,0.00002,73,1,1
151412357,151412357,,10337,0,0,0,0,0,0,0,0,0
151412356,151412356,,10337,0,0,0,0,0,0,0,0,0
151412372,151412372,,10338,0,0,0,0,0,0,0,0,0
151412371,151412371,,10338,0,0,0,0,0,0,0,0,0
151412373,151412373,,10338,0,0,0,0,0,0,0,0,0
151412387,151412387,,10339,0,0,0,0,0,0,0,0,0
151412386,151412386,,10339,0,0,0,0,0,0,0,0,0
151412388,151412388,,10339,0,0,0,0,0,0,0,0,0
151412396,151412396,,0,1,44,0.054898,0.057907,0,0.000017,48,0,0
151412412,151412412,,10340,0,0,0,0,0,0,0,0,0
151412411,151412411,,10340,0,0,0,0,0,0,0,0,0
151412413,151412413,,10340,0,0,0,0,0,0,0,0,0
151412414,151412414,,10340,0,0,0,0,0,0,0,0,0
151412442,151412442,,10341,0,0,0,0,0,0,0,0,0
151412441,151412441,,10341,0,0,0,0,0,0,0,0,0
151412452,151412452,,10342,0,0,0,0,0,0,0,0,0
151412451,151412451,,10342,0,0,0,0,0,0,0,0,0
151412462,151412462,,10343,0,0,0,0,0,0,0,0,0
151412461,151412461,,10343,0,0,0,0,0,0,0,0,0
151412496,151412496,,0,2,44,0.058263,0.062178,0,0.000027,56,1,1
151412498,151412498,,0,2,44,0.058263,0.062178,0,0.000027,56,1,1
151412502,151412502,,10344,0,0,0,0,0,0,0,0,0
151412501,151412501,,10344,0,0,0,0,0,0,0,0,0
151412522,151412522,,10345,0,0,0,0,0,0,0,0,0
151412521,151412521,,10345,0,0,0,0,0,0,0,0,0
151412537,151412537,,10346,0,0,0,0,0,0,0,0,0
151412536,151412536,,10346,0,0,0,0,0,0,0,0,0
151412552,151412552,,10347,0,0,0,0,0,0,0,0,0
151412551,151412551,,10347,0,0,0,0,0,0,0,0,0
151412553,151412553,,10347,0,0,0,0,0,0,0,0,0
151412602,151412602,,10348,0,0,0,0,0,0,0,0,0
151412601,151412601,,10348,0,0,0,0,0,0,0,0,0
151412627,151412627,,10349,0,0,0,0,0,0,0,0,0
151412626,151412626,,10349,0,0,0,0,0,0,0,0,0
151412632,151412632,,10350,0,0,0,0,0,0,0,0,0
151412631,151412631,,10350,0,0,0,0,0,0,0,0,0
151412637,151412637,,0,3,43,0.053072,0.055737,0,0.000038,14,1,3
151412636,151412636,,0,3,43,0.053072,0.055737,0,0.000038,14,1,3
151412638,151412638,,0,3,43,0.053072,0.055737,0,0.000038,14,1,3
151412652,151412652,,10351,0,0,0,0,0,0,0,0,0
151412651,151412651,,10351,0,0,0,0,0,0,0,0,0
151412653,151412653,,10351,0,0,0,0,0,0,0,0,0
151412656,151412656,,0,1,44,0.049539,0.05194,0,0.000018,13,0,0
151412666,151412666,,8772,0,0,0,0,0,0,0,0,0
151412717,151412717,,10352,0,0,0,0,0,0,0,0,0
151412716,151412716,,10352,0,0,0,0,0,0,0,0,0
151412718,151412718,,10352,0,0,0,0,0,0,0,0,0
151412767,151412767,,10353,0,0,0,0,0,0,0,0,0
151412766,151412766,,10353,0,0,0,0,0,0,0,0,0
151412787,151412787,,10354,0,0,0,0,0,0,0,0,0
